24
12
100	1	0.66	0.20	0.50	0.69	0.18	0.85	0.23	0.07	0.37	0.36	0	0.40	0.28	0.56	0.75	0.44	0.15	0.33	0	0.34	0.26	0.27	
1	100	0.36	0.91	0.55	0.28	0.41	0	0.80	0.69	0	1	0	0.59	0.43	0.89	0.24	0.27	0.45	0.29	0.23	0.42	1	0.32	
0.66	0.36	100	0.63	0.61	0.33	1	0.37	0.95	1	0.17	0.68	0.07	0.25	0.09	0.19	0.23	0.07	0.18	0.59	0.51	0.89	0.37	0.43	
0.20	0.91	0.63	100	1	0.32	0.25	0	0.14	0.38	0.48	0.72	0.56	0.62	0.54	0.15	0.66	0.18	0.32	0	0.32	0.89	0.57	0.37	
0.50	0.55	0.61	1	100	0.62	1	0.34	0.64	0.26	0.25	0.30	0.70	0.52	0.66	0.22	0.53	0.10	0.66	0.42	0.92	0.36	0.38	0.05	
0.69	0.28	0.33	0.32	0.62	100	0.51	0.71	0.61	0.33	0.24	0.76	0.35	0.50	0.87	0.10	0.54	0.26	0.15	0.51	0.11	0.35	0.04	0.86	
0.18	0.41	1	0.25	1	0.51	100	0.46	0	0.42	0.38	0.01	0.40	0.37	0.42	0.04	0.55	0.98	0.51	0.80	0.62	0.80	0.56	0.11	
0.85	0	0.37	0	0.34	0.71	0.46	100	0.30	0.82	0.24	0.36	0.72	0.23	0.26	0.84	0.69	0.29	0.66	0.45	0.30	0.85	0.42	0.68	
0.23	0.80	0.95	0.14	0.64	0.61	0	0.30	100	0.39	0.39	0.10	0.35	0.50	0.57	0.41	0.68	1	0.38	0.30	0.55	0.86	0.87	0.34	
0.07	0.69	1	0.38	0.26	0.33	0.42	0.82	0.39	100	0.41	0.55	0.55	0.62	0.49	0.51	0.33	0.60	0.80	0.60	0.92	0.29	0.22	0.39	
0.37	0	0.17	0.48	0.25	0.24	0.38	0.24	0.39	0.41	100	0.54	0.09	0.09	0.57	0.72	0.57	0.65	0.37	0.24	0.66	0.24	0.02	0.42	
0.36	1	0.68	0.72	0.30	0.76	0.01	0.36	0.10	0.55	0.54	100	0.78	0.83	0.93	0.49	0.11	0.44	0.21	0.70	0.33	0.67	0.43	0.27	
0	0	0.07	0.56	0.70	0.35	0.40	0.72	0.35	0.55	0.09	0.78	100	0.96	0.20	0.83	0.55	0.52	0.24	0	0.96	0.56	0.35	0.49	
0.40	0.59	0.25	0.62	0.52	0.50	0.37	0.23	0.50	0.62	0.09	0.83	0.96	100	0.69	0.32	0.45	0.89	0.31	0.63	0.59	0.92	0.16	0.43	
0.28	0.43	0.09	0.54	0.66	0.87	0.42	0.26	0.57	0.49	0.57	0.93	0.20	0.69	100	0.58	0.52	0.76	0.30	1	0	0.39	0.46	0.45	
0.56	0.89	0.19	0.15	0.22	0.10	0.04	0.84	0.41	0.51	0.72	0.49	0.83	0.32	0.58	100	0.48	0.67	0	0.39	0.43	0.63	0.12	0.91	
0.75	0.24	0.23	0.66	0.53	0.54	0.55	0.69	0.68	0.33	0.57	0.11	0.55	0.45	0.52	0.48	100	0.23	0.79	0.57	0.62	0.85	0.90	0.43	
0.44	0.27	0.07	0.18	0.10	0.26	0.98	0.29	1	0.60	0.65	0.44	0.52	0.89	0.76	0.67	0.23	100	0.24	0.35	0.86	0.12	0.58	0.58	
0.15	0.45	0.18	0.32	0.66	0.15	0.51	0.66	0.38	0.80	0.37	0.21	0.24	0.31	0.30	0	0.79	0.24	100	0.48	0.13	0.35	0.45	0.63	
0.33	0.29	0.59	0	0.42	0.51	0.80	0.45	0.30	0.60	0.24	0.70	0	0.63	1	0.39	0.57	0.35	0.48	100	0.44	0.37	0.86	0	
0	0.23	0.51	0.32	0.92	0.11	0.62	0.30	0.55	0.92	0.66	0.33	0.96	0.59	0	0.43	0.62	0.86	0.13	0.44	100	0.23	0.88	0.56	
0.34	0.42	0.89	0.89	0.36	0.35	0.80	0.85	0.86	0.29	0.24	0.67	0.56	0.92	0.39	0.63	0.85	0.12	0.35	0.37	0.23	100	0.35	0.66	
0.26	1	0.37	0.57	0.38	0.04	0.56	0.42	0.87	0.22	0.02	0.43	0.35	0.16	0.46	0.12	0.90	0.58	0.45	0.86	0.88	0.35	100	0.59	
0.27	0.32	0.43	0.37	0.05	0.86	0.11	0.68	0.34	0.39	0.42	0.27	0.49	0.43	0.45	0.91	0.43	0.58	0.63	0	0.56	0.66	0.59	100
